productId,name,description,price,stock,tags,isActive,createdAt
PRD00001,Sony Xperia 5- Blanco,Sony Xperia 5- Blanco — Smartphones. Producto de alta calidad para belleza.,846.53,323,mascotas|fitness|automóviles,true,2022-02-19
PRD00002,Google Pixel 8 XL,Google Pixel 8 XL — Smartphones. Producto de alta calidad para deportes.,326.6,415,arte|fitness|fotografía|música|automóviles,false,2020-05-01
PRD00003,Xiaomi 14,Xiaomi 14 — Smartphones. Producto de alta calidad para arte.,394.08,327,tecnología|moda|oficina,true,2022-06-10
PRD00004,OnePlus 12 Mini,OnePlus 12 Mini — Smartphones. Producto de alta calidad para fitness.,1608.41,444,deportes|gaming|libros,true,2020-04-19
PRD00005,iPhone 15 Pro- Azul,iPhone 15 Pro- Azul — Smartphones. Producto de alta calidad para viajes.,1203.92,324,fitness|smartphones,false,2024-11-07
PRD00006,OnePlus 12- Blanco,OnePlus 12- Blanco — Smartphones. Producto de alta calidad para automóviles.,714.49,315,fotografía|smartphones,false,2024-10-30
PRD00007,Motorola Edge XL,Motorola Edge XL — Smartphones. Producto de alta calidad para fotografía.,2247.68,329,libros|mascotas|gaming|jardín|electrónica,false,2023-12-12
PRD00008,Samsung Galaxy S24,Samsung Galaxy S24 — Smartphones. Producto de alta calidad para viajes.,2298.51,486,arte|automóviles|música,true,2022-03-25
PRD00009,OnePlus 12- Azul,OnePlus 12- Azul — Smartphones. Producto de alta calidad para libros.,480.11,102,belleza|hogar|libros,true,2019-09-15
PRD00010,Sony Xperia 5 Mini,Sony Xperia 5 Mini — Smartphones. Producto de alta calidad para cine.,1562.05,378,smartphones|fotografía,true,2019-08-30
PRD00011,iPhone 15 Pro 2024,iPhone 15 Pro 2024 — Smartphones. Producto de alta calidad para arte.,404.58,12,jardín|cocina|mascotas,true,2024-03-12
PRD00012,Sony Xperia 5- Plus,Sony Xperia 5- Plus — Smartphones. Producto de alta calidad para electrónica.,2250.13,164,automóviles|deportes|electrónica|música|belleza,true,2024-05-20
PRD00013,Google Pixel 8- Pro,Google Pixel 8- Pro — Smartphones. Producto de alta calidad para fitness.,2157.53,72,mascotas|libros|cine|oficina,true,2019-05-14
PRD00014,OnePlus 12 Mini,OnePlus 12 Mini — Smartphones. Producto de alta calidad para electrónica.,137.48,491,cine|belleza|gaming|hogar|smartphones,true,2021-01-14
PRD00015,Google Pixel 8- Plus,Google Pixel 8- Plus — Smartphones. Producto de alta calidad para juguetes.,499.81,335,deportes|electrónica|viajes,true,2021-06-08
PRD00016,Sony Xperia 5,Sony Xperia 5 — Smartphones. Producto de alta calidad para hogar.,1853.78,375,música|smartphones|libros|viajes,false,2020-12-02
PRD00017,Sony Xperia 5- Pro,Sony Xperia 5- Pro — Smartphones. Producto de alta calidad para gaming.,594.5,459,smartphones|fotografía,true,2020-08-12
PRD00018,Xiaomi 14 Mini,Xiaomi 14 Mini — Smartphones. Producto de alta calidad para cocina.,803.91,213,gaming|juguetes|belleza|viajes,true,2022-06-15
PRD00019,Motorola Edge Mini,Motorola Edge Mini — Smartphones. Producto de alta calidad para juguetes.,621.6,170,mascotas|gaming|música|cine|fotografía,true,2019-03-22
PRD00020,Sony Xperia 5- Rojo,Sony Xperia 5- Rojo — Smartphones. Producto de alta calidad para electrónica.,11.71,35,oficina|hogar|música|electrónica|belleza,true,2020-12-15
PRD00021,iPhone 15 Pro- Pro,iPhone 15 Pro- Pro — Smartphones. Producto de alta calidad para viajes.,2277.11,251,oficina|electrónica|automóviles,true,2020-04-05
