reviewId,rating,comment,createdAt,isVerified,helpfulVotes,sentiment
REV00001,4,"Superó mis expectativas, volveré a comprar.",2024-04-27,true,127,positive
REV00002,3,Producto aceptable para el precio.,2022-11-29,true,46,neutral
REV00003,5,"Excelente producto, lo recomiendo totalmente.",2022-03-11,false,111,positive
REV00004,4,Rápida entrega y producto tal como se describe.,2024-05-07,true,1,positive
REV00005,1,"No cumplió mis expectativas, calidad regular.",2021-09-28,true,230,negative
REV00006,4,"Excelente producto, lo recomiendo totalmente.",2022-06-06,false,227,positive
REV00007,4,Rápida entrega y producto tal como se describe.,2021-08-17,true,20,positive
REV00008,4,Rápida entrega y producto tal como se describe.,2022-06-21,false,215,positive
REV00009,5,Rápida entrega y producto tal como se describe.,2021-06-10,true,105,positive
REV00010,4,"Excelente producto, lo recomiendo totalmente.",2025-03-21,false,92,positive
REV00011,4,Increíble relación calidad-precio.,2025-09-25,true,247,positive
REV00012,4,Increíble relación calidad-precio.,2023-08-01,false,32,positive
REV00013,2,"El producto llegó con golpes, decepcionante.",2020-12-20,true,32,negative
REV00014,5,Rápida entrega y producto tal como se describe.,2025-09-21,true,232,positive
REV00015,5,"Funciona perfecto, estoy muy contento con la compra.",2023-10-12,false,20,positive
REV00016,4,"Producto de primera calidad, muy satisfecho.",2022-04-24,true,216,positive
REV00017,5,"Funciona perfecto, estoy muy contento con la compra.",2022-10-04,true,61,positive
REV00018,4,Increíble relación calidad-precio.,2024-10-13,true,200,positive
REV00019,5,"Superó mis expectativas, volveré a comprar.",2025-07-07,true,168,positive
REV00020,4,"Excelente producto, lo recomiendo totalmente.",2023-08-05,true,192,positive
REV00021,5,Increíble relación calidad-precio.,2024-04-19,true,152,positive
REV00022,2,"El producto llegó con golpes, decepcionante.",2023-09-12,true,136,negative
REV00023,5,"Producto de primera calidad, muy satisfecho.",2021-01-15,false,241,positive
REV00024,3,Producto aceptable para el precio.,2020-04-06,true,51,neutral
REV00025,4,"Excelente producto, lo recomiendo totalmente.",2023-06-28,false,106,positive
REV00026,5,Rápida entrega y producto tal como se describe.,2024-12-31,true,165,positive
REV00027,5,"Producto de primera calidad, muy satisfecho.",2023-06-01,false,64,positive
REV00028,4,"Excelente producto, lo recomiendo totalmente.",2022-06-10,false,142,positive
REV00029,5,"Excelente producto, lo recomiendo totalmente.",2023-08-28,false,139,positive
REV00030,5,"Producto de primera calidad, muy satisfecho.",2023-12-10,true,55,positive
REV00031,5,"Superó mis expectativas, volveré a comprar.",2023-06-25,false,97,positive
REV00032,4,Rápida entrega y producto tal como se describe.,2024-08-30,true,177,positive
REV00033,4,Rápida entrega y producto tal como se describe.,2022-06-16,false,125,positive
REV00034,5,"Superó mis expectativas, volveré a comprar.",2020-11-16,true,78,positive
REV00035,2,"No corresponde a la descripción, poca calidad.",2025-10-25,false,236,negative
REV00036,5,Increíble relación calidad-precio.,2020-12-23,true,108,positive
REV00037,4,"Producto de primera calidad, muy satisfecho.",2024-12-29,true,214,positive
REV00038,4,"Producto de primera calidad, muy satisfecho.",2020-06-23,true,209,positive
REV00039,4,"Excelente producto, lo recomiendo totalmente.",2022-08-12,true,250,positive
REV00040,4,"Funciona perfecto, estoy muy contento con la compra.",2025-02-03,true,79,positive
REV00041,5,"Excelente producto, lo recomiendo totalmente.",2022-10-28,true,149,positive
REV00042,4,"Excelente producto, lo recomiendo totalmente.",2022-01-31,false,14,positive
REV00043,5,"Muy buena calidad, llegó en perfectas condiciones.",2020-05-24,false,188,positive
REV00044,3,"Cumple su función básica, nada extraordinario.",2021-04-09,true,50,neutral
REV00045,5,"Muy buena calidad, llegó en perfectas condiciones.",2020-11-22,false,2,positive
REV00046,4,"Producto de primera calidad, muy satisfecho.",2024-01-13,true,215,positive
REV00047,5,"Superó mis expectativas, volveré a comprar.",2025-09-12,true,183,positive
REV00048,5,Rápida entrega y producto tal como se describe.,2025-09-28,true,89,positive
REV00049,5,Increíble relación calidad-precio.,2025-07-06,false,187,positive
REV00050,5,"Producto de primera calidad, muy satisfecho.",2025-05-08,true,25,positive
REV00051,4,Rápida entrega y producto tal como se describe.,2023-04-18,true,17,positive
REV00052,5,Rápida entrega y producto tal como se describe.,2021-12-25,true,163,positive
REV00053,5,"Funciona perfecto, estoy muy contento con la compra.",2020-03-25,false,220,positive
REV00054,5,"Funciona perfecto, estoy muy contento con la compra.",2021-06-28,true,171,positive
REV00055,4,"Producto de primera calidad, muy satisfecho.",2024-10-09,false,248,positive
REV00056,5,Rápida entrega y producto tal como se describe.,2023-05-20,true,4,positive
REV00057,1,"El producto llegó con golpes, decepcionante.",2020-09-04,false,58,negative
REV00058,5,"Superó mis expectativas, volveré a comprar.",2021-01-19,true,69,positive
REV00059,5,"Excelente producto, lo recomiendo totalmente.",2024-03-11,true,206,positive
REV00060,3,"Regular, esperaba un poco más.",2023-03-02,false,95,neutral
